,SPY US Equity,SPY US Equity,SPY US Equity,SPY US Equity
DATES,DROPNA(PX_OPEN),DROPNA(PX_HIGH),DROPNA(PX_LOW),DROPNA(PX_LAST)
6/25/2012,132.05,132.1,130.85,131.32
6/26/2012,131.7,132.38,130.93,131.98
6/27/2012,132.42,133.43,131.9666875,133.173
6/28/2012,132.29,132.99,131.28,132.79
6/29/2012,135.2,136.27,134.85,136.105
7/2/2012,136.48,136.65,135.52,136.51
7/3/2012,136.48,137.51,136.34,137.412
7/5/2012,136.9,137.8,136.29,136.79
7/6/2012,135.47,135.77,134.85,135.49
7/9/2012,135.38,135.57,134.7,135.32
7/10/2012,136.01,136.23,133.68,134.14
7/11/2012,134.21,134.6,133.38,134.16
7/12/2012,133.38,134.226875,132.6,133.51
7/13/2012,133.86,135.89,133.84,135.75
7/16/2012,135.44,135.83,134.9,135.43
7/17/2012,135.97,136.64,134.55,136.36
7/18/2012,136.04,137.64,135.96,137.37
7/19/2012,137.65,138.18,137.21,137.73
7/20/2012,136.95,137.16,136.32,136.47
7/23/2012,134.47,136.3851875,133.84,135.09
7/24/2012,135.19,135.25,133.03,133.925
7/25/2012,134.21,134.56,133.25,133.96
7/26/2012,135.89,136.46,135.26,136.17
7/27/2012,136.89,139.07,136.136375,138.675
7/30/2012,138.52,139.339,138.27,138.68
7/31/2012,138.49,138.87,137.71,137.71
8/1/2012,138.7,138.73,137.4,137.59
8/2/2012,136.55,137.57,135.58,136.64
8/3/2012,138.56,139.64,136.679375,139.349
8/6/2012,139.72,140.17,139.56,139.62
8/7/2012,140.18,140.92,140.03,140.32
8/8/2012,139.85,140.65,139.81,140.49
8/9/2012,140.29,140.89,140.15,140.61
8/10/2012,140.04,140.89,139.81,140.84
8/13/2012,140.6,140.84,140.04,140.77
8/14/2012,141.29,141.38,140.37,140.79
8/15/2012,140.64,141.19,140.55,140.95
8/16/2012,141.15,142.16,140.8,141.99
8/17/2012,142.23,142.3,141.86,142.18
8/20/2012,141.98,142.22,141.59,142.19
8/21/2012,142.54,143.09,141.45,141.76
8/22/2012,141.4,142.05,141.07,141.82
8/23/2012,141.47,141.48,140.44,140.665
8/24/2012,140.31,141.83,140.22,141.51
8/27/2012,141.89,142.08,141.34,141.54
8/28/2012,141.18,141.84,140.97,141.4
8/29/2012,141.52,141.89,141.12,141.51
8/30/2012,140.9,140.94,140.19,140.49
8/31/2012,141.29,141.82,140.36,141.16
9/4/2012,141.04,141.46,140.13,141.03
9/5/2012,141.09,141.47,140.63,140.91
9/6/2012,141.76,143.78,141.75,143.77
9/7/2012,144.01,144.39,143.88,144.33
9/10/2012,144.19,144.44,143.46,143.51
9/11/2012,143.6,144.37,143.56,143.91
9/12/2012,144.39,144.55,143.9,144.39
9/13/2012,144.37,147.04,143.99,146.59
9/14/2012,146.88,148.11,146.76,147.24
9/17/2012,146.94,147.19,146.37,146.74
9/18/2012,146.49,146.81,146.25,146.62
9/19/2012,146.79,147.17,146.41,146.7
9/20/2012,146.03,146.79,145.63,146.71
9/21/2012,146.64,146.67,145.81,145.87
9/24/2012,145.15,145.98,145.04,145.645
9/25/2012,145.96,146.24,144.06,144.1
9/26/2012,144.065,144.11,142.95,143.295
9/27/2012,143.89,144.97,143.51,144.64
9/28/2012,144.09,144.56,143.46,143.97
10/1/2012,144.52,145.69,144.0081875,144.345
